Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species.setosa,Species.versicolor,Species.virginica
-0.176470588235294,0.2727272727272726,-0.3813559322033898,-0.375,0.5,-0.5,-0.5
-0.2941176470588235,0.0454545454545453,-0.4152542372881356,-0.4583333333333333,0.5,-0.5,-0.5
-0.4705882352941175,-0.181818181818182,-0.4322033898305085,-0.4583333333333333,0.5,-0.5,-0.5
-0.058823529411764774,0.318181818181818,-0.4661016949152542,-0.4583333333333333,0.5,-0.5,-0.5
-0.26470588235294124,0.22727272727272707,-0.4152542372881356,-0.4166666666666667,0.5,-0.5,-0.5
-0.35294117647058826,0.0454545454545453,-0.3474576271186441,-0.4583333333333333,0.5,-0.5,-0.5
-0.2941176470588235,-0.13636363636363646,-0.3983050847457627,-0.4583333333333333,0.5,-0.5,-0.5
-0.2941176470588235,-0.04545454545454547,-0.4661016949152542,-0.4583333333333333,0.5,-0.5,-0.5
-0.32352941176470573,0.13636363636363624,-0.4322033898305085,-0.5,0.5,-0.5,-0.5
-0.4411764705882352,-0.4545454545454547,-0.4491525423728814,-0.4166666666666667,0.5,-0.5,-0.5
-0.2941176470588235,0.09090909090909083,-0.3983050847457627,-0.29166666666666663,0.5,-0.5,-0.5
-0.2941176470588235,-2.220446049250313e-16,-0.4322033898305085,-0.4583333333333333,0.5,-0.5,-0.5
0.2941176470588235,-0.04545454545454547,0.1271186440677966,0.04166666666666663,-0.5,0.5,-0.5
0.1470588235294118,-0.22727272727272746,0.11016949152542366,0.08333333333333337,-0.5,0.5,-0.5
-0.08823529411764702,-0.22727272727272746,0.09322033898305082,0,-0.5,0.5,-0.5
0.08823529411764697,-2.220446049250313e-16,0.1271186440677966,0.125,-0.5,0.5,-0.5
-0.2941176470588235,-0.5909090909090909,-0.07627118644067798,-0.125,-0.5,0.5,-0.5
0.02941176470588225,-0.181818181818182,0.1271186440677966,0.04166666666666663,-0.5,0.5,-0.5
-0.1176470588235295,-0.13636363636363646,0.09322033898305082,0.08333333333333337,-0.5,0.5,-0.5
-0.058823529411764774,-0.2727272727272727,0.025423728813559254,-0.125,-0.5,0.5,-0.5
-0.08823529411764702,-0.31818181818181823,-0.07627118644067798,-0.125,-0.5,0.5,-0.5
-0.176470588235294,-0.13636363636363646,0.09322033898305082,0.08333333333333337,-0.5,0.5,-0.5
0,0.0454545454545453,0.09322033898305082,0.125,-0.5,0.5,-0.5
-0.1176470588235295,-0.2727272727272727,0.0423728813559322,0,-0.5,0.5,-0.5
0.08823529411764697,-0.181818181818182,0.27966101694915246,0.20833333333333337,-0.5,-0.5,0.5
0.5,-0.22727272727272746,0.4661016949152542,0.29166666666666663,-0.5,-0.5,0.5
0.3529411764705882,-0.04545454545454547,0.34745762711864403,0.20833333333333337,-0.5,-0.5,0.5
0.3529411764705882,-0.13636363636363646,0.31355932203389825,0.125,-0.5,-0.5,0.5
0.41176470588235303,-0.22727272727272746,0.36440677966101687,0.25,-0.5,-0.5,0.5
0.5588235294117647,0.22727272727272707,0.4152542372881356,0.29166666666666663,-0.5,-0.5,0.5
0.02941176470588225,-0.31818181818181823,0.27966101694915246,0.04166666666666663,-0.5,-0.5,0.5
0.20588235294117652,-0.090909090909091,0.27966101694915246,0.45833333333333326,-0.5,-0.5,0.5
