Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species.setosa,Species.versicolor,Species.virginica
-0.26470588235294124,0.12499999999999989,-0.4454545454545455,-0.4583333333333333,0.5,-0.5,-0.5
-0.3823529411764705,0,-0.4636363636363636,-0.4583333333333333,0.5,-0.5,-0.5
-0.41176470588235303,-0.041666666666666685,-0.4272727272727273,-0.4583333333333333,0.5,-0.5,-0.5
-0.2941176470588235,0.16666666666666663,-0.4454545454545455,-0.4583333333333333,0.5,-0.5,-0.5
-0.176470588235294,0.2916666666666665,-0.39090909090909093,-0.375,0.5,-0.5,-0.5
-0.41176470588235303,0.08333333333333326,-0.4454545454545455,-0.4166666666666667,0.5,-0.5,-0.5
-0.2941176470588235,0.08333333333333326,-0.4272727272727273,-0.4583333333333333,0.5,-0.5,-0.5
-0.4705882352941175,-0.1250000000000001,-0.4454545454545455,-0.4583333333333333,0.5,-0.5,-0.5
-0.32352941176470573,-0.041666666666666685,-0.4272727272727273,-0.5,0.5,-0.5,-0.5
-0.176470588235294,0.20833333333333326,-0.4272727272727273,-0.4583333333333333,0.5,-0.5,-0.5
-0.35294117647058826,0.08333333333333326,-0.40909090909090906,-0.4583333333333333,0.5,-0.5,-0.5
-0.35294117647058826,-0.08333333333333337,-0.4454545454545455,-0.5,0.5,-0.5,-0.5
-0.5,-0.08333333333333337,-0.5,-0.5,0.5,-0.5,-0.5
-0.058823529411764774,0.33333333333333326,-0.48181818181818187,-0.4583333333333333,0.5,-0.5,-0.5
-0.08823529411764702,0.5,-0.4272727272727273,-0.375,0.5,-0.5,-0.5
-0.26470588235294124,0.12499999999999989,-0.4454545454545455,-0.4166666666666667,0.5,-0.5,-0.5
-0.08823529411764702,0.24999999999999978,-0.39090909090909093,-0.4166666666666667,0.5,-0.5,-0.5
-0.26470588235294124,0.24999999999999978,-0.4272727272727273,-0.4166666666666667,0.5,-0.5,-0.5
-0.26470588235294124,0.04166666666666652,-0.39090909090909093,-0.3333333333333333,0.5,-0.5,-0.5
-0.35294117647058826,0.08333333333333326,-0.3545454545454546,-0.4583333333333333,0.5,-0.5,-0.5
-0.2941176470588235,-0.08333333333333337,-0.40909090909090906,-0.4583333333333333,0.5,-0.5,-0.5
-0.23529411764705876,0.12499999999999989,-0.4272727272727273,-0.4583333333333333,0.5,-0.5,-0.5
-0.23529411764705876,0.08333333333333326,-0.4454545454545455,-0.4583333333333333,0.5,-0.5,-0.5
-0.3823529411764705,0,-0.40909090909090906,-0.4583333333333333,0.5,-0.5,-0.5
-0.176470588235294,0.08333333333333326,-0.4272727272727273,-0.375,0.5,-0.5,-0.5
-0.14705882352941174,0.41666666666666663,-0.4454545454545455,-0.4583333333333333,0.5,-0.5,-0.5
-0.32352941176470573,-0.041666666666666685,-0.4272727272727273,-0.4583333333333333,0.5,-0.5,-0.5
-0.2941176470588235,0,-0.48181818181818187,-0.4583333333333333,0.5,-0.5,-0.5
-0.14705882352941174,0.12499999999999989,-0.4636363636363636,-0.4583333333333333,0.5,-0.5,-0.5
-0.32352941176470573,0.16666666666666663,-0.4454545454545455,-0.5,0.5,-0.5,-0.5
-0.4705882352941175,-0.08333333333333337,-0.4636363636363636,-0.4583333333333333,0.5,-0.5,-0.5
-0.26470588235294124,0.08333333333333326,-0.4272727272727273,-0.4583333333333333,0.5,-0.5,-0.5
-0.4411764705882352,-0.3750000000000001,-0.4636363636363636,-0.4166666666666667,0.5,-0.5,-0.5
-0.4705882352941175,0,-0.4636363636363636,-0.4583333333333333,0.5,-0.5,-0.5
-0.2941176470588235,0.12499999999999989,-0.40909090909090906,-0.29166666666666663,0.5,-0.5,-0.5
-0.26470588235294124,0.24999999999999978,-0.3545454545454546,-0.375,0.5,-0.5,-0.5
-0.35294117647058826,-0.08333333333333337,-0.4454545454545455,-0.4166666666666667,0.5,-0.5,-0.5
-0.20588235294117652,0.20833333333333326,-0.4272727272727273,-0.4583333333333333,0.5,-0.5,-0.5
-0.2941176470588235,0.04166666666666652,-0.4454545454545455,-0.4583333333333333,0.5,-0.5,-0.5
