Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species.setosa,Species.versicolor,Species.virginica
-0.5294117647058825,0.24999999999999978,-0.890909090909091,-0.9166666666666666,1,-1,-1
-0.764705882352941,0,-0.9272727272727272,-0.9166666666666666,1,-1,-1
-0.8235294117647061,-0.08333333333333337,-0.8545454545454546,-0.9166666666666666,1,-1,-1
-0.588235294117647,0.33333333333333326,-0.890909090909091,-0.9166666666666666,1,-1,-1
-0.352941176470588,0.583333333333333,-0.7818181818181819,-0.75,1,-1,-1
-0.8235294117647061,0.16666666666666652,-0.890909090909091,-0.8333333333333334,1,-1,-1
-0.588235294117647,0.16666666666666652,-0.8545454545454546,-0.9166666666666666,1,-1,-1
-0.941176470588235,-0.2500000000000002,-0.890909090909091,-0.9166666666666666,1,-1,-1
-0.6470588235294115,-0.08333333333333337,-0.8545454545454546,-1,1,-1,-1
-0.352941176470588,0.4166666666666665,-0.8545454545454546,-0.9166666666666666,1,-1,-1
-0.7058823529411765,0.16666666666666652,-0.8181818181818181,-0.9166666666666666,1,-1,-1
-0.7058823529411765,-0.16666666666666674,-0.890909090909091,-1,1,-1,-1
-1,-0.16666666666666674,-1,-1,1,-1,-1
-0.11764705882352955,0.6666666666666665,-0.9636363636363637,-0.9166666666666666,1,-1,-1
-0.17647058823529405,1,-0.8545454545454546,-0.75,1,-1,-1
-0.5294117647058825,0.24999999999999978,-0.890909090909091,-0.8333333333333334,1,-1,-1
-0.17647058823529405,0.49999999999999956,-0.7818181818181819,-0.8333333333333334,1,-1,-1
-0.5294117647058825,0.49999999999999956,-0.8545454545454546,-0.8333333333333334,1,-1,-1
-0.5294117647058825,0.08333333333333304,-0.7818181818181819,-0.6666666666666666,1,-1,-1
-0.7058823529411765,0.16666666666666652,-0.7090909090909092,-0.9166666666666666,1,-1,-1
-0.588235294117647,-0.16666666666666674,-0.8181818181818181,-0.9166666666666666,1,-1,-1
-0.47058823529411753,0.24999999999999978,-0.8545454545454546,-0.9166666666666666,1,-1,-1
-0.47058823529411753,0.16666666666666652,-0.890909090909091,-0.9166666666666666,1,-1,-1
-0.764705882352941,0,-0.8181818181818181,-0.9166666666666666,1,-1,-1
-0.352941176470588,0.16666666666666652,-0.8545454545454546,-0.75,1,-1,-1
-0.2941176470588235,0.8333333333333333,-0.890909090909091,-0.9166666666666666,1,-1,-1
-0.6470588235294115,-0.08333333333333337,-0.8545454545454546,-0.9166666666666666,1,-1,-1
-0.588235294117647,0,-0.9636363636363637,-0.9166666666666666,1,-1,-1
-0.2941176470588235,0.24999999999999978,-0.9272727272727272,-0.9166666666666666,1,-1,-1
-0.6470588235294115,0.33333333333333326,-0.890909090909091,-1,1,-1,-1
-0.941176470588235,-0.16666666666666674,-0.9272727272727272,-0.9166666666666666,1,-1,-1
-0.5294117647058825,0.16666666666666652,-0.8545454545454546,-0.9166666666666666,1,-1,-1
